iter	RMSE
0	310.971389
1	293.7453813
2	278.055327
3	263.3235784
4	250.1427761
5	237.8014781
6	226.7846187
7	216.196368
8	206.4358538
9	197.645246
10	189.6915251
11	182.4215534
12	175.7006973
13	169.4457156
14	163.8643935
15	158.5434044
16	153.921753
17	149.6394547
18	145.7627384
19	142.5193269
20	139.3538905
21	136.3756283
22	133.8783098
23	131.5816309
24	129.4473851
25	127.4471944
26	125.6452315
27	124.0306847
28	122.621487
29	121.4205701
30	120.2893132
31	119.2788053
32	118.4268154
33	117.5241173
34	116.7863136
35	116.1636471
36	115.5834093
37	114.9936592
38	114.5593451
39	114.0048561
40	113.5979452
41	113.1110068
42	112.6950676
43	112.2739308
44	111.8949026
45	111.6139976
46	111.3139787
47	110.9609746
48	110.7065474
49	110.4231943
50	110.1560866
51	109.9060575
52	109.7042001
53	109.475785
54	109.2918188
55	109.0615406
56	108.8638465
57	108.6984429
58	108.5085382
59	108.3247846
60	108.1381404
61	107.963919
62	107.7761343
63	107.637061
64	107.517124
65	107.3650476
66	107.2412202
67	107.0947175
68	106.9248688
69	106.7509797
70	106.6266441
71	106.4741241
72	106.3590711
73	106.2716624
74	106.1997289
75	106.1224845
76	105.983865
77	105.9157182
78	105.7657403
79	105.6884137
80	105.6222461
81	105.5698036
82	105.4763583
83	105.3749138
84	105.1984924
85	105.1224776
86	105.0452241
87	104.950562
88	104.8992778
89	104.8719034
90	104.723416
91	104.5277798
92	104.432152
93	104.3590549
94	104.2403555
95	104.1762246
96	104.1144778
97	104.0470143
98	103.9710262
99	103.8350922
100	103.6415667
101	103.5235831
102	103.4434049
103	103.3605988
104	103.2597113
105	103.1967064
106	103.1418802
107	102.9994408
108	102.8799759
109	102.8139009
110	102.7421723
111	102.6852292
112	102.6096664
113	102.4866095
114	102.3925289
115	102.3526691
116	102.2191668
117	102.1727707
118	102.052116
119	101.984952
120	101.9350542
121	101.8709857
122	101.8262346
123	101.7864734
124	101.7008021
125	101.6386031
126	101.5485655
127	101.4932476
128	101.4445009
129	101.3943725
130	101.3230955
131	101.2819058
132	101.193478
133	101.1659716
134	101.0825058
135	100.9436935
136	100.9107578
137	100.8794377
138	100.8329957
139	100.7681988
140	100.6873538
