iter	Passed	Remaining
0	4	4433
1	9	4710
2	13	4648
3	18	4633
4	23	4615
5	27	4534
6	32	4578
7	36	4586
8	42	4632
9	46	4611
10	51	4610
11	56	4634
12	60	4626
13	65	4610
14	70	4637
15	75	4623
16	80	4632
17	84	4619
18	89	4623
19	94	4610
20	98	4595
21	103	4601
22	108	4588
23	112	4591
24	117	4600
25	122	4581
26	127	4591
27	132	4600
28	137	4618
29	142	4617
30	147	4620
31	153	4633
32	158	4647
33	163	4646
34	169	4665
35	174	4678
36	179	4681
37	185	4687
38	190	4681
39	195	4701
40	201	4709
41	206	4719
42	212	4733
43	217	4732
44	225	4776
45	231	4795
46	237	4809
47	242	4814
48	249	4844
49	255	4847
50	260	4845
51	266	4856
52	271	4855
53	276	4842
54	281	4843
55	286	4834
56	291	4822
57	296	4814
58	301	4804
59	306	4799
60	311	4792
61	315	4780
62	321	4775
63	326	4774
64	331	4767
65	336	4760
66	341	4761
67	346	4754
68	351	4749
69	356	4735
70	361	4726
71	365	4710
72	370	4708
73	376	4706
74	381	4702
75	386	4702
76	391	4696
77	396	4687
78	401	4678
79	405	4667
80	411	4665
81	416	4657
82	420	4644
83	425	4640
84	429	4628
85	434	4621
86	439	4615
87	444	4605
88	449	4597
89	452	4572
90	457	4569
91	462	4560
92	466	4553
93	471	4548
94	476	4542
95	481	4533
96	485	4520
97	490	4513
98	494	4503
99	499	4498
100	504	4493
101	509	4485
102	514	4476
103	518	4464
104	524	4466
105	529	4462
106	533	4452
107	538	4446
108	543	4439
109	547	4430
110	552	4422
111	557	4416
112	561	4409
113	566	4399
114	571	4400
115	576	4393
116	581	4385
117	585	4378
118	590	4372
119	595	4366
120	600	4360
121	605	4355
122	610	4350
123	614	4341
124	620	4340
125	624	4330
126	629	4324
127	634	4320
128	638	4312
129	643	4309
130	648	4301
131	653	4297
132	658	4290
133	662	4280
134	667	4274
135	671	4266
136	676	4261
137	681	4253
138	685	4247
139	690	4243
140	695	4235
141	699	4228
142	704	4220
143	708	4213
144	713	4206
145	718	4203
146	723	4198
147	727	4190
148	732	4184
149	737	4178
150	742	4173
151	746	4165
152	751	4158
153	755	4151
154	760	4144
155	765	4138
156	770	4135
157	775	4131
158	779	4124
159	784	4118
160	789	4113
161	794	4108
162	798	4102
163	803	4096
164	807	4088
165	812	4081
166	816	4074
167	821	4069
168	826	4063
169	831	4057
170	836	4053
171	840	4048
172	845	4042
173	849	4034
174	854	4030
175	859	4024
176	864	4021
177	870	4018
178	875	4014
179	880	4009
180	884	4004
181	889	3998
182	894	3994
183	899	3987
184	904	3985
185	909	3981
186	914	3974
187	919	3970
188	924	3965
189	928	3960
190	934	3956
191	938	3950
192	943	3946
193	948	3940
194	953	3935
195	958	3930
196	962	3924
197	967	3919
198	972	3913
199	977	3910
200	982	3906
201	987	3899
202	991	3894
203	996	3887
204	1001	3882
205	1006	3878
206	1010	3871
207	1015	3867
208	1020	3863
209	1025	3858
210	1030	3853
211	1034	3846
212	1039	3842
213	1044	3836
214	1049	3831
215	1053	3825
216	1058	3819
217	1063	3814
218	1067	3807
219	1072	3802
220	1077	3796
221	1081	3791
222	1086	3786
223	1091	3779
224	1095	3773
225	1099	3766
226	1104	3760
227	1108	3753
228	1113	3748
229	1118	3743
230	1122	3736
231	1126	3730
232	1131	3724
233	1135	3718
234	1139	3710
235	1144	3704
236	1148	3697
237	1152	3690
238	1157	3684
239	1162	3682
240	1167	3677
241	1172	3671
242	1177	3668
243	1182	3664
244	1187	3659
245	1192	3654
246	1196	3648
247	1201	3642
248	1205	3636
249	1210	3631
250	1214	3625
251	1219	3620
252	1224	3615
253	1229	3610
254	1234	3605
255	1238	3599
256	1243	3595
257	1248	3589
258	1252	3584
259	1257	3580
260	1262	3573
261	1266	3568
262	1271	3562
263	1276	3558
264	1281	3553
265	1286	3549
266	1290	3543
267	1295	3537
268	1299	3532
269	1304	3526
270	1309	3521
271	1313	3516
272	1317	3509
273	1322	3503
274	1326	3498
275	1331	3493
276	1336	3487
277	1340	3481
278	1345	3476
279	1349	3470
280	1354	3465
281	1358	3459
282	1363	3454
283	1367	3448
284	1372	3444
285	1378	3441
286	1383	3437
287	1388	3432
288	1393	3427
289	1398	3423
290	1403	3418
291	1407	3412
292	1412	3407
293	1416	3400
294	1420	3395
295	1424	3388
296	1430	3384
297	1434	3379
298	1438	3373
299	1443	3367
300	1447	3361
301	1452	3356
302	1456	3351
303	1461	3346
304	1466	3341
305	1471	3336
306	1476	3333
307	1481	3328
308	1487	3325
309	1492	3320
310	1496	3316
311	1501	3311
312	1507	3307
313	1511	3302
314	1516	3298
315	1521	3293
316	1526	3289
317	1531	3285
318	1535	3278
319	1540	3273
320	1545	3269
321	1550	3264
322	1555	3260
323	1560	3256
324	1565	3251
325	1569	3245
326	1574	3241
327	1579	3236
328	1584	3231
329	1589	3227
330	1594	3222
331	1599	3218
332	1604	3212
333	1608	3208
334	1613	3203
335	1618	3198
336	1624	3195
337	1629	3192
338	1634	3187
339	1640	3184
340	1645	3179
341	1649	3173
342	1654	3169
343	1659	3163
344	1664	3159
345	1669	3155
346	1673	3150
347	1678	3145
348	1683	3140
349	1688	3136
350	1693	3131
351	1698	3126
352	1703	3123
353	1709	3119
354	1713	3114
355	1719	3109
356	1723	3104
357	1728	3099
358	1733	3095
359	1739	3092
360	1744	3088
361	1750	3084
362	1755	3080
363	1760	3075
364	1764	3070
365	1770	3066
366	1775	3061
367	1779	3056
368	1785	3052
369	1790	3047
370	1795	3044
371	1800	3039
372	1805	3034
373	1810	3030
374	1815	3026
375	1820	3021
376	1825	3016
377	1830	3012
378	1835	3007
379	1841	3004
380	1846	2999
381	1851	2994
382	1856	2990
383	1861	2985
384	1866	2981
385	1872	2977
386	1876	2972
387	1882	2968
388	1887	2964
389	1893	2960
390	1898	2956
391	1903	2952
392	1908	2948
393	1914	2943
394	1918	2938
395	1923	2934
396	1928	2929
397	1933	2924
398	1939	2921
399	1944	2916
400	1948	2911
401	1954	2907
402	1960	2903
403	1965	2899
404	1970	2894
405	1975	2890
406	1980	2885
407	1986	2882
408	1992	2878
409	1997	2873
410	2002	2869
411	2007	2864
412	2012	2860
413	2018	2857
414	2023	2852
415	2029	2848
416	2034	2844
417	2039	2840
418	2044	2835
419	2049	2830
420	2054	2825
421	2059	2820
422	2064	2816
423	2069	2811
424	2074	2806
425	2079	2801
426	2084	2796
427	2089	2792
428	2094	2787
429	2099	2783
430	2105	2779
431	2110	2774
432	2115	2769
433	2120	2765
434	2125	2760
435	2130	2755
436	2134	2750
437	2139	2745
438	2145	2741
439	2149	2736
440	2155	2732
441	2160	2728
442	2165	2723
443	2171	2719
444	2177	2715
445	2182	2710
446	2187	2706
447	2192	2701
448	2198	2697
449	2203	2693
450	2208	2687
451	2213	2683
452	2218	2678
453	2223	2673
454	2227	2668
455	2232	2663
456	2237	2659
457	2242	2654
458	2247	2648
459	2252	2644
460	2257	2639
461	2262	2634
462	2267	2630
463	2273	2625
464	2278	2621
465	2283	2616
466	2288	2611
467	2293	2607
468	2298	2602
469	2303	2597
470	2309	2593
471	2314	2588
472	2319	2583
473	2324	2579
474	2330	2575
475	2335	2570
476	2340	2565
477	2345	2561
478	2350	2556
479	2355	2551
480	2360	2546
481	2365	2542
482	2370	2537
483	2375	2532
484	2380	2527
485	2384	2522
486	2390	2517
487	2395	2513
488	2400	2508
489	2405	2503
490	2410	2498
491	2415	2493
492	2420	2488
493	2424	2483
494	2429	2478
495	2434	2473
496	2438	2467
497	2443	2462
498	2447	2457
499	2452	2452
500	2457	2447
501	2462	2443
502	2467	2438
503	2472	2433
504	2477	2428
505	2483	2424
506	2488	2419
507	2493	2414
508	2497	2409
509	2502	2404
510	2508	2400
511	2513	2395
512	2518	2390
513	2524	2386
514	2529	2381
515	2534	2376
516	2538	2371
517	2543	2366
518	2548	2361
519	2552	2356
520	2557	2351
521	2562	2346
522	2567	2341
523	2572	2336
524	2577	2331
525	2582	2327
526	2587	2322
527	2593	2318
528	2598	2313
529	2602	2308
530	2607	2303
531	2612	2298
532	2617	2293
533	2622	2288
534	2626	2283
535	2631	2278
536	2636	2273
537	2641	2268
538	2646	2263
539	2650	2257
540	2655	2253
541	2661	2248
542	2666	2243
543	2670	2238
544	2675	2233
545	2680	2228
546	2685	2223
547	2690	2218
548	2695	2214
549	2699	2208
